time,latitude,longitude,adjusted_temp,adjusted_temp_unc
2019-04-29 22:00:00,5.5,-75.5,22.446996688842773,2.244699716567993
2019-04-29 23:00:00,5.5,-75.5,22.22699546813965,2.2226996421813965
2019-04-30 00:00:00,5.5,-75.5,20.946996688842773,2.0946996212005615
2019-04-30 01:00:00,5.5,-75.5,21.136999130249023,2.1136999130249023
2019-04-30 02:00:00,5.5,-75.5,19.967016220092773,1.9967015981674194
2019-04-30 03:00:00,5.5,-75.5,19.347021102905273,1.9347021579742432
2019-04-30 04:00:00,5.5,-75.5,18.4169979095459,1.8416998386383057
2019-04-30 05:00:00,5.5,-75.5,17.267004013061523,1.7267004251480103
2019-04-30 06:00:00,5.5,-75.5,16.746984481811523,1.6746984720230103
2019-04-30 07:00:00,5.5,-75.5,16.537023544311523,1.6537023782730103
2019-04-30 08:00:00,5.5,-75.5,15.587011337280273,1.5587011575698853
2019-04-30 09:00:00,5.5,-75.5,15.976995468139648,1.597699522972107
2019-04-30 10:00:00,5.5,-75.5,18.077001571655273,1.8077001571655273
2019-04-30 11:00:00,5.5,-75.5,18.436986923217773,1.8436987400054932
2019-04-30 12:00:00,5.5,-75.5,18.707006454467773,1.870700716972351
2019-04-30 13:00:00,5.5,-75.5,19.35700035095215,1.9357000589370728
2019-04-30 14:00:00,5.5,-75.5,22.6669979095459,2.26669979095459
2019-04-30 15:00:00,5.5,-75.5,23.9169979095459,2.39169979095459
2019-04-30 16:00:00,5.5,-75.5,24.657018661499023,2.4657018184661865
2019-04-30 17:00:00,5.5,-75.5,26.017004013061523,2.6017005443573
2019-04-30 18:00:00,5.5,-75.5,26.496984481811523,2.649698495864868
2019-04-30 19:00:00,5.5,-75.5,26.037023544311523,2.6037023067474365
2019-04-30 20:00:00,5.5,-75.5,25.207006454467773,2.520700693130493
2019-04-30 21:00:00,5.5,-75.5,25.186986923217773,2.5186986923217773
2019-04-30 22:00:00,5.5,-75.5,22.5470027923584,2.2547004222869873
2019-04-30 23:00:00,5.5,-75.5,23.1770076751709,2.3177008628845215
2019-05-01 00:00:00,5.5,-75.5,21.647008895874023,2.164700984954834
2019-05-01 01:00:00,5.5,-75.5,21.087011337280273,2.108701229095459
2019-05-01 02:00:00,5.5,-75.5,20.077001571655273,2.007700204849243
2019-05-01 03:00:00,5.5,-75.5,19.647008895874023,1.9647009372711182
2019-05-01 04:00:00,5.5,-75.5,19.147008895874023,1.9147008657455444
2019-05-01 05:00:00,5.5,-75.5,18.267004013061523,1.8267004489898682
2019-05-01 06:00:00,5.5,-75.5,17.47699546813965,1.7476996183395386
2019-05-01 07:00:00,5.5,-75.5,16.136999130249023,1.6136999130249023
2019-05-01 08:00:00,5.5,-75.5,14.597021102905273,1.4597021341323853
2019-05-01 09:00:00,5.5,-75.5,14.467016220092773,1.4467016458511353
2019-05-01 10:00:00,5.5,-75.5,15.976995468139648,1.597699522972107
2019-05-01 11:00:00,5.5,-75.5,16.116979598999023,1.611698031425476
2019-05-01 12:00:00,5.5,-75.5,16.457006454467773,1.6457006931304932
2019-05-01 13:00:00,5.5,-75.5,18.4270076751709,1.8427008390426636
2019-05-01 14:00:00,5.5,-75.5,19.707006454467773,1.9707006216049194
2019-05-01 15:00:00,5.5,-75.5,26.707006454467773,2.670700788497925
2019-05-01 16:00:00,5.5,-75.5,27.626989364624023,2.7626988887786865
2019-05-01 17:00:00,5.5,-75.5,28.446996688842773,2.8446996212005615
2019-05-01 18:00:00,5.5,-75.5,29.037023544311523,2.9037024974823
2019-05-01 19:00:00,5.5,-75.5,29.23700523376465,2.9237005710601807
2019-05-01 20:00:00,5.5,-75.5,28.907018661499023,2.89070200920105
2019-05-01 21:00:00,5.5,-75.5,28.1770076751709,2.8177008628845215
2019-05-01 22:00:00,5.5,-75.5,25.277013778686523,2.5277013778686523
2019-05-01 23:00:00,5.5,-75.5,23.0470027923584,2.3047003746032715
